drugbank_id,drug_name
DB00399,zoledronic acid
DB00400,griseofulvin
DB00401,nisoldipine
DB00402,eszopiclone
DB00403,ceruletide
DB00404,alprazolam
DB00405,dexbrompheniramine
DB00406,gentian violet cation
DB00407,ardeparin
DB00408,loxapine
DB00409,remoxipride
DB00410,mupirocin
DB00411,carbamoylcholine
DB00412,rosiglitazone
DB00413,pramipexole
DB00414,acetohexamide
DB00415,ampicillin
DB00416,metocurine iodide
DB00417,phenoxymethylpenicillin
DB00418,secobarbital
DB00419,miglustat
DB00420,promazine
DB00421,spironolactone
DB00422,methylphenidate
DB00423,methocarbamol
DB00424,hyoscyamine
DB00425,zolpidem
DB00426,famciclovir
DB00427,triprolidine
DB00428,streptozocin
DB00429,carboprost tromethamine
DB00430,cefpiramide
DB00431,lindane
DB00432,trifluridine
DB00433,prochlorperazine
DB00434,cyproheptadine
DB00435,nitric oxide
DB00436,bendroflumethiazide
DB00437,allopurinol
DB00438,ceftazidime
DB00439,cerivastatin
DB00440,trimethoprim
DB00441,gemcitabine
DB00442,entecavir
DB00443,betamethasone
DB00444,teniposide
DB00445,epirubicin
DB00446,chloramphenicol
DB00447,loracarbef
DB00448,lansoprazole
DB00449,dipivefrin
DB00450,droperidol
DB00451,levothyroxine
DB00452,framycetin
DB00453,clomocycline
DB00454,meperidine
DB00455,loratadine
DB00456,cefalotin
DB00457,prazosin
DB00458,imipramine
DB00459,acitretin
DB00460,verteporfin
DB00461,nabumetone
DB00462,methscopolamine bromide
DB00463,metharbital
DB00464,sodium tetradecyl sulfate
DB00465,ketorolac
DB00466,picrotoxin
DB00467,enoxacin
DB00468,quinine
DB00469,tenoxicam
DB00470,dronabinol
DB00471,montelukast
DB00472,fluoxetine
DB00473,hexylcaine
DB00474,methohexital
DB00475,chlordiazepoxide
DB00476,duloxetine
DB00477,chlorpromazine
DB00478,rimantadine
DB00479,amikacin
DB00480,lenalidomide
DB00481,raloxifene
DB00482,celecoxib
DB00483,gallamine triethiodide
DB00484,brimonidine
DB00485,dicloxacillin
DB00486,nabilone
DB00487,pefloxacin
DB00488,altretamine
DB00489,sotalol
DB00490,buspirone
DB00491,miglitol
DB00492,fosinopril
DB00493,cefotaxime
DB00494,entacapone
DB00495,zidovudine
DB00496,darifenacin
DB00497,oxycodone
DB00498,phenindione
DB00499,flutamide
DB00500,tolmetin
DB00501,cimetidine
DB00502,haloperidol
DB00503,ritonavir
DB00504,levallorphan
DB00505,tridihexethyl
DB00507,nitazoxanide
DB00508,triflupromazine
DB00509,dextrothyroxine
DB00511,acetyldigitoxin
DB00512,vancomycin
DB00513,aminocaproic acid
DB00514,dextromethorphan
DB00515,cisplatin
DB00516,bentoquatam
DB00517,anisotropine methylbromide
DB00518,albendazole
DB00519,trandolapril
DB00520,caspofungin
DB00521,carteolol
DB00522,bentiromide
DB00523,alitretinoin
DB00524,metolazone
DB00525,tolnaftate
DB00526,oxaliplatin
DB00527,cinchocaine
DB00528,lercanidipine
DB00529,foscarnet
DB00530,erlotinib
DB00531,cyclophosphamide
DB00532,mephenytoin
DB00533,rofecoxib
DB00534,chlormerodrin
DB00535,cefdinir
DB00536,guanidine
DB00537,ciprofloxacin
DB00538,gadoversetamide
DB00539,toremifene
DB00540,nortriptyline
DB00541,vincristine
DB00542,benazepril
DB00543,amoxapine
DB00544,fluorouracil
DB00545,pyridostigmine
DB00546,adinazolam
DB00547,desoximetasone
DB00548,azelaic acid
DB00549,zafirlukast
DB00550,propylthiouracil
DB00551,acetohydroxamic acid
DB00552,pentostatin
DB00553,methoxsalen
DB00554,piroxicam
DB00555,lamotrigine
DB00556,perflutren
DB00557,hydroxyzine
DB00558,zanamivir
DB00559,bosentan
DB00560,tigecycline
DB00561,doxapram
DB00562,benzthiazide
DB00563,methotrexate
DB00564,carbamazepine
DB00565,cisatracurium
DB00566,succimer
DB00567,cephalexin
DB00568,cinnarizine
DB00569,fondaparinux
DB00570,vinblastine
DB00571,propranolol
DB00572,atropine
DB00573,fenoprofen
DB00574,fenfluramine
DB00575,clonidine
DB00576,sulfamethizole
DB00577,valaciclovir
DB00578,carbenicillin
DB00579,mazindol
DB00580,valdecoxib
DB00581,lactulose
DB00582,voriconazole
DB00583,levocarnitine
DB00584,enalapril
DB00585,nizatidine
DB00586,diclofenac
DB00587,cinalukast
DB00588,fluticasone propionate
DB00589,lisuride
DB00590,doxazosin
DB00591,fluocinolone acetonide
DB00592,piperazine
DB00593,ethosuximide
DB00594,amiloride
DB00595,oxytetracycline
DB00596,ulobetasol
DB00597,gadoteridol
DB00598,labetalol
DB00599,thiopental
DB00600,monobenzone
DB00601,linezolid
DB00602,ivermectin
DB00603,medroxyprogesterone acetate
DB00604,cisapride
DB00605,sulindac
DB00606,cyclothiazide
DB00607,nafcillin
DB00608,chloroquine
DB00609,ethionamide
DB00610,metaraminol
DB00611,butorphanol
DB00612,bisoprolol
DB00613,amodiaquine
DB00614,furazolidone
DB00615,rifabutin
DB00616,candoxatril
DB00617,paramethadione
DB00618,demeclocycline
DB00619,imatinib
DB00620,triamcinolone
DB00621,oxandrolone
DB00622,nicardipine
DB00623,fluphenazine
DB00624,testosterone
DB00625,efavirenz
DB00626,bacitracin
DB00627,niacin
DB00628,clorazepic acid
DB00629,guanabenz
DB00630,alendronic acid
DB00631,clofarabine
DB00632,docosanol
DB00633,dexmedetomidine
DB00634,sulfacetamide
DB00635,prednisone
DB00636,clofibrate
DB00637,astemizole
DB00638,inulin
DB00639,butoconazole
DB00640,adenosine
DB00641,simvastatin
DB00642,pemetrexed
DB00643,mebendazole
DB00644,gonadorelin
DB00645,dyclonine
DB00646,nystatin
DB00647,dextropropoxyphene
DB00648,mitotane
DB00649,stavudine
DB00650,leucovorin
DB00651,dyphylline
DB00652,pentazocine
DB00653,magnesium sulfate
DB00654,latanoprost
DB00655,estrone
DB00656,trazodone
DB00657,mecamylamine
DB00658,sevelamer
DB00659,acamprosate
DB00660,metaxalone
DB00661,verapamil
DB00662,trimethobenzamide
DB00663,flumethasone
DB00664,sulfametopyrazine
DB00665,nilutamide
DB00666,nafarelin
DB00668,epinephrine
DB00669,sumatriptan
DB00670,pirenzepine
DB00671,cefixime
DB00672,chlorpropamide
DB00673,aprepitant
DB00674,galantamine
DB00675,tamoxifen
DB00676,benzyl benzoate
DB00677,isoflurophate
DB00678,losartan
DB00679,thioridazine
DB00680,moricizine
DB00681,amphotericin b
DB00682,warfarin
DB00683,midazolam
DB00684,tobramycin
DB00685,trovafloxacin
DB00686,pentosan polysulfate
DB00687,fludrocortisone
DB00688,mycophenolate mofetil
DB00689,cephaloglycin
DB00690,flurazepam
DB00691,moexipril
DB00692,phentolamine
DB00693,fluorescein
DB00694,daunorubicin
DB00695,furosemide
DB00696,ergotamine
DB00697,tizanidine
DB00698,nitrofurantoin
DB00699,nicergoline
DB00700,eplerenone
DB00701,amprenavir
DB00702,icodextrin
DB00703,methazolamide
DB00704,naltrexone
DB00705,delavirdine
DB00706,tamsulosin
DB00707,porfimer sodium
DB00708,sufentanil
DB00709,lamivudine
DB00710,ibandronate
DB00711,diethylcarbamazine
DB00712,flurbiprofen
DB00713,oxacillin
DB00714,apomorphine
DB00715,paroxetine
DB00716,nedocromil
DB00717,norethisterone
DB00718,adefovir dipivoxil
DB00719,azatadine
DB00720,clodronic acid
DB00721,procaine
DB00722,lisinopril
DB00723,methoxamine
DB00724,imiquimod
DB00725,homatropine methylbromide
DB00726,trimipramine
DB00727,nitroglycerin
DB00728,rocuronium
DB00730,thiabendazole
DB00731,nateglinide
DB00732,atracurium besylate
DB00733,pralidoxime
DB00734,risperidone
DB00735,naftifine
DB00736,esomeprazole
DB00737,meclizine
DB00738,pentamidine
DB00739,hetacillin
DB00740,riluzole
DB00741,hydrocortisone
DB00742,mannitol
DB00743,gadobenic acid
DB00744,zileuton
DB00745,modafinil
DB00746,deferoxamine
DB00747,scopolamine
DB00748,carbinoxamine
DB00749,etodolac
DB00750,prilocaine
DB00751,epinastine
DB00752,tranylcypromine
DB00753,isoflurane
DB00754,ethotoin
DB00755,tretinoin
DB00756,hexachlorophene
DB00757,dolasetron
DB00758,clopidogrel
DB00759,tetracycline
DB00760,meropenem
DB00761,potassium chloride
DB00762,irinotecan
DB00763,methimazole
DB00764,mometasone
DB00765,metyrosine
DB00766,clavulanic acid
DB00767,benzquinamide
DB00768,olopatadine
DB00769,hydrocortamate
DB00770,alprostadil
DB00771,clidinium
DB00772,malathion
DB00773,etoposide
DB00774,hydroflumethiazide
DB00775,tirofiban
DB00776,oxcarbazepine
DB00777,propiomazine
DB00778,roxithromycin
DB00779,nalidixic acid
DB00780,phenelzine
DB00782,propantheline
DB00783,estradiol
DB00784,mefenamic acid
DB00785,cryptenamine
DB00786,marimastat
DB00787,acyclovir
DB00788,naproxen
DB00789,gadopentetic acid
DB00790,perindopril
DB00791,uracil mustard
DB00792,tripelennamine
DB00793,haloprogin
DB00794,primidone
DB00795,sulfasalazine
DB00796,candesartan cilexetil
DB00797,tolazoline
DB00798,gentamicin
DB00799,tazarotene
DB00800,fenoldopam
DB00801,halazepam
DB00802,alfentanil
DB00803,colistin
DB00804,dicyclomine
DB00805,minaprine
DB00806,pentoxifylline
DB00807,proparacaine
DB00808,indapamide
DB00809,tropicamide
DB00810,biperiden
DB00811,ribavirin
DB00812,phenylbutazone
DB00813,fentanyl
DB00814,meloxicam
DB00815,sodium lauryl sulfate
DB00816,orciprenaline
DB00817,rosoxacin
DB00818,propofol
DB00819,acetazolamide
DB00820,tadalafil
DB00821,carprofen
DB00822,disulfiram
DB00823,ethynodiol diacetate
DB00824,enprofylline
DB00825,levomenthol
DB00826,natamycin
DB00827,cinoxacin
DB00828,fosfomycin
DB00829,diazepam
DB00830,phenmetrazine
DB00831,trifluoperazine
DB00832,phensuximide
DB00833,cefaclor
DB00834,mifepristone
DB00835,brompheniramine
DB00836,loperamide
DB00837,progabide
DB00838,clocortolone
DB00839,tolazamide
DB00840,hydroxypropyl cellulose
DB00841,dobutamine
DB00842,oxazepam
DB00843,donepezil
DB00844,nalbuphine
DB00845,clofazimine
DB00846,flurandrenolide
DB00847,cysteamine
DB00848,levamisole
DB00849,methylphenobarbital
DB00850,perphenazine
DB00851,dacarbazine
DB00852,pseudoephedrine
DB00853,temozolomide
DB00854,levorphanol
DB00855,aminolevulinic acid
DB00856,chlorphenesin
DB00857,terbinafine
DB00858,drostanolone
DB00859,penicillamine
DB00860,prednisolone
DB00861,diflunisal
DB00862,vardenafil
DB00863,ranitidine
DB00864,tacrolimus
DB00865,benzphetamine
DB00866,alprenolol
DB00867,ritodrine
DB00868,benzonatate
DB00869,dorzolamide
DB00870,suprofen
DB00871,terbutaline
DB00872,conivaptan
DB14596,loteprednol etabonate
DB00874,guaifenesin
DB00875,flupentixol
DB00876,eprosartan
DB00877,sirolimus
DB00878,chlorhexidine
DB00879,emtricitabine
DB00880,chlorothiazide
DB00881,quinapril
DB00882,clomifene
DB00883,isosorbide dinitrate
DB00884,risedronic acid
DB00885,pemirolast
DB00886,omapatrilat
DB00887,bumetanide
DB00888,mechlorethamine
DB00889,granisetron
DB00890,dienestrol
DB00891,sulfapyridine
DB00892,oxybuprocaine
DB00893,iron dextran
DB00894,testolactone
DB00895,benzylpenicilloyl polylysine
DB00896,rimexolone
DB00897,triazolam
DB00898,ethanol
DB00899,remifentanil
